"Figure 1. Area of the Contiguous 48 States with Unusually Hot Summer Temperatures, 1910-2023",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA, 2024",,,,
Web update: June 2024,,,,
Units: Percent of land area,,,,
,,,,
Year,Hot daily highs,Hot daily lows,Hot daily highs (smoothed),Hot daily lows (smoothed)
1910,0.066,0.016,0.065242188,0.016410156
1911,0.08,0.023,0.067644531,0.017984375
1912,0.004,0,0.076617188,0.02371875
1913,0.152,0.026,0.0848125,0.031789063
1914,0.136,0.097,0.078863281,0.034363281
1915,0.011,0.002,0.062183594,0.028339844
1916,0.004,0.004,0.0563125,0.021910156
1917,0.058,0.01,0.070898438,0.023660156
1918,0.147,0.047,0.089523438,0.03315625
1919,0.141,0.052,0.093707031,0.046886719
1920,0,0.001,0.084179688,0.061453125
1921,0.138,0.179,0.071,0.068074219
1922,0.044,0.041,0.060984375,0.05915625
1923,0.004,0.021,0.059648438,0.041261719
1924,0.078,0.01,0.066292969,0.027667969
1925,0.134,0.035,0.067917969,0.021640625
1926,0.049,0.023,0.055171875,0.017933594
1927,0.009,0.001,0.040164063,0.014648438
1928,0.003,0.014,0.046488281,0.015804688
1929,0.017,0.007,0.082089844,0.025550781
1930,0.206,0.028,0.128980469,0.043515625
1931,0.236,0.107,0.167054688,0.067300781
1932,0.057,0.044,0.197089844,0.09703125
1933,0.279,0.104,0.224707031,0.130445313
1934,0.398,0.309,0.242417969,0.1580625
1935,0.013,0.014,0.241359375,0.169898438
1936,0.47,0.326,0.217292969,0.159175781
1937,0.118,0.119,0.171117188,0.124292969
1938,0.053,0.03,0.120828125,0.079132813
1939,0.038,0.011,0.088554688,0.047800781
1940,0.17,0.025,0.0746875,0.041191406
1941,0.007,0.077,0.0704375,0.050929688
1942,0.008,0.013,0.075042969,0.061582031
1943,0.185,0.173,0.080648438,0.059773438
1944,0.098,0.001,0.070871094,0.042539063
1945,0.004,0.001,0.046476563,0.021429688
1946,0.006,0.001,0.027441406,0.011074219
1947,0.006,0.005,0.026875,0.015703125
1948,0.033,0.003,0.039582031,0.028175781
1949,0.111,0.115,0.057757813,0.038199219
1950,0.001,0,0.086539063,0.043738281
1951,0.079,0.017,0.132265625,0.05259375
1952,0.313,0.11,0.180339844,0.068871094
1953,0.176,0.056,0.202523438,0.0843125
1954,0.294,0.152,0.185199219,0.086300781
1955,0.088,0.081,0.140019531,0.071613281
1956,0.092,0.016,0.092085938,0.051488281
1957,0.003,0.005,0.063199219,0.039945313
1958,0.05,0.077,0.06121875,0.039539063
1959,0.074,0.034,0.078289063,0.0450625
1960,0.093,0.003,0.094800781,0.052371094
1961,0.209,0.152,0.090972656,0.056160156
1962,0.01,0,0.064597656,0.05059375
1963,0.014,0.071,0.033539063,0.036664063
1964,0.003,0.001,0.015699219,0.021582031
1965,0,0,0.013628906,0.011664063
1966,0.019,0.003,0.018753906,0.008199219
1967,0.056,0.022,0.022523438,0.008054688
1968,0,0,0.023207031,0.007984375
1969,0.008,0.006,0.023242188,0.007632813
1970,0.065,0.013,0.022007813,0.008363281
1971,0,0.003,0.017320313,0.011414063
1972,0.002,0.003,0.011394531,0.015839844
1973,0.014,0.058,0.008871094,0.017828125
1974,0.001,0,0.012011719,0.01615625
1975,0.002,0.002,0.019164063,0.015839844
1976,0.065,0.001,0.025917969,0.0205
1977,0.019,0.078,0.033167969,0.027453125
1978,0.016,0.003,0.051382813,0.035828125
1979,0.002,0,0.08240625,0.047980469
1980,0.303,0.147,0.105519531,0.060105469
1981,0.067,0.054,0.102976563,0.066
1982,0.001,0.002,0.084167969,0.065972656
1983,0.154,0.161,0.065449219,0.060261719
1984,0.014,0.02,0.050992188,0.047921875
1985,0.021,0.002,0.047203125,0.038488281
1986,0.025,0.014,0.065863281,0.044640625
1987,0.045,0.069,0.09846875,0.061007813
1988,0.347,0.161,0.112710938,0.069125
1989,0.007,0.011,0.091570313,0.063480469
1990,0.018,0.026,0.056558594,0.055804688
1991,0.032,0.095,0.039617188,0.055789063
1992,0.01,0.03,0.051160156,0.064480469
1993,0.055,0.063,0.0785625,0.080695313
1994,0.214,0.112,0.099230469,0.097867188
1995,0.065,0.171,0.099648438,0.105324219
1996,0.106,0.078,0.088230469,0.103859375
1997,0.003,0.005,0.082246094,0.103445313
1998,0.157,0.26,0.087421875,0.103699219
1999,0.048,0.034,0.100769531,0.10121875
2000,0.137,0.05,0.123320313,0.108527344
2001,0.09,0.105,0.153023438,0.135367188
2002,0.276,0.259,0.171824219,0.165488281
2003,0.248,0.225,0.164757813,0.181695313
2004,0.014,0.049,0.1496875,0.193824219
2005,0.087,0.271,0.155402344,0.21259375
2006,0.274,0.283,0.172371094,0.220070313
2007,0.286,0.29,0.16653125,0.203277344
2008,0.035,0.027,0.141542969,0.197246094
2009,0.035,0.049,0.143445313,0.24540625
2010,0.147,0.533,0.19409375,0.324730469
2011,0.356,0.538,0.251355469,0.36459375
2012,0.463,0.252,0.255667969,0.339707031
2013,0.121,0.299,0.204597656,0.296335938
2014,0.028,0.142,0.155320313,0.288496094
2015,0.109,0.33,0.15234375,0.32328125
2016,0.242,0.494,0.1818125,0.367929688
2017,0.244,0.299,0.205824219,0.391070313
2018,0.235,0.574,0.216445313,0.395699219
2019,0.09,0.154,0.235777344,0.41578125
2020,0.321,0.462,0.270445313,0.469125
2021,0.414,0.693,0.293742188,0.517917969
2022,0.28,0.657,0.283707031,0.508710938
2023,0.214,0.33,0.253171875,0.444671875
