"Figure 2. Area of the Contiguous 48 States with Unusually Cold Winter Temperatures, 1911-2024",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA, 2024",,,,
Web update: June 2024,,,,
Units: Percent of land area,,,,
,,,,
Year,Cold Highs,9-pt High,Cold Lows,9-pt Low
1911,0.035,0.126671875,0.04,0.145300781
1912,0.374,0.169902344,0.402,0.190210938
1913,0.184,0.185695313,0.286,0.184308594
1914,0.038,0.188910156,0.015,0.148503906
1915,0.323,0.208171875,0.037,0.150484375
1916,0.108,0.24765625,0.102,0.219835938
1917,0.383,0.280921875,0.479,0.302085938
1918,0.434,0.275160156,0.575,0.318707031
1919,0.131,0.225828125,0.106,0.257628906
1920,0.194,0.163550781,0.184,0.1750625
1921,0.002,0.118738281,0.01,0.119425781
1922,0.183,0.09309375,0.18,0.091335938
1923,0.043,0.072402344,0.044,0.072671875
1924,0.049,0.050339844,0.014,0.056511719
1925,0.026,0.032304688,0.098,0.0446875
1926,0.008,0.029699219,0.007,0.045632813
1927,0.002,0.052902344,0.002,0.074652344
1928,0.019,0.093585938,0.019,0.126039063
1929,0.38,0.122878906,0.514,0.159503906
1930,0.004,0.129308594,0.024,0.153152344
1931,0.056,0.134300781,0.031,0.139085938
1932,0.195,0.148722656,0.126,0.147207031
1933,0.295,0.160007813,0.359,0.165746094
1934,0.031,0.178132813,0.052,0.19015625
1935,0.015,0.225480469,0.022,0.236160156
1936,0.608,0.270800781,0.59,0.277863281
1937,0.392,0.255933594,0.423,0.260285156
1938,0,0.188773438,0,0.188570313
1939,0.037,0.12809375,0.03,0.121722656
1940,0.254,0.094039063,0.219,0.084949219
1941,0,0.065988281,0,0.059265625
1942,0.015,0.038835938,0.026,0.034660156
1943,0.003,0.0246875,0.003,0.019914063
1944,0.034,0.023375,0.011,0.01928125
1945,0.045,0.026511719,0.017,0.029171875
1946,0.004,0.040109375,0.069,0.051019531
1947,0.005,0.080257813,0.006,0.092496094
1948,0.09,0.138269531,0.119,0.145757813
1949,0.445,0.171261719,0.386,0.175898438
1950,0.117,0.151273438,0.165,0.155871094
1951,0.001,0.101164063,0.036,0.102667969
1952,0.107,0.05978125,0.045,0.057066406
1953,0,0.041015625,0.001,0.042054688
1954,0,0.038847656,0.004,0.051429688
1955,0.099,0.043503906,0.177,0.064582031
1956,0.04,0.048769531,0.032,0.070136719
1957,0.007,0.05575,0.026,0.074921875
1958,0.104,0.065539063,0.101,0.084164063
1959,0.082,0.073222656,0.167,0.089902344
1960,0.074,0.079148438,0.018,0.093539063
1961,0.058,0.095472656,0.103,0.119070313
1962,0.066,0.127144531,0.024,0.179089844
1963,0.27,0.153871094,0.424,0.237027344
1964,0.226,0.149449219,0.434,0.236796875
1965,0.038,0.116378906,0.066,0.173660156
1966,0.097,0.084980469,0.034,0.100953125
1967,0.001,0.081414063,0.036,0.065742188
1968,0.081,0.103636719,0.046,0.070082031
1969,0.223,0.124039063,0.086,0.087421875
1970,0.175,0.120507813,0.208,0.092121094
1971,0.018,0.103210938,0.014,0.079359375
1972,0.027,0.092730469,0.039,0.062410156
1973,0.246,0.085773438,0.086,0.051914063
1974,0.007,0.075773438,0.033,0.055839844
1975,0.013,0.091890625,0.02,0.097839844
1976,0,0.175917969,0.005,0.199332031
1977,0.343,0.313628906,0.496,0.329117188
1978,0.585,0.414546875,0.529,0.40346875
1979,0.816,0.392964844,0.665,0.366382813
1980,0,0.268578125,0,0.253539063
1981,0.005,0.145367188,0.1,0.15003125
1982,0.119,0.093328125,0.109,0.103453125
1983,0.01,0.096523438,0,0.101066406
1984,0.244,0.103484375,0.229,0.104914063
1985,0.097,0.085421875,0.124,0.088453125
1986,0.001,0.050863281,0.001,0.055910156
1987,0.002,0.02353125,0,0.031421875
1988,0.004,0.01296875,0.004,0.026695313
1989,0.033,0.012035156,0.08,0.030667969
1990,0,0.016492188,0.026,0.030941406
1991,0.002,0.032039063,0.012,0.029953125
1992,0.016,0.05759375,0.001,0.034292969
1993,0.202,0.074214844,0.095,0.039164063
1994,0.069,0.065203125,0.048,0.034601563
1995,0,0.038976563,0,0.0211875
1996,0,0.016765625,0.001,0.008496094
1997,0.01,0.007460938,0,0.002160156
1998,0.006,0.007851563,0,0.000863281
1999,0,0.015792969,0,0.002039063
2000,0,0.029175781,0,0.004117188
2001,0.12,0.03975,0.018,0.005390625
2002,0.001,0.039625,0.001,0.004757813
2003,0.059,0.029980469,0.002,0.00296875
2004,0.001,0.018042969,0.001,0.001511719
2005,0.002,0.009859375,0,0.001011719
2006,0,0.008671875,0,0.001425781
2007,0.017,0.019785156,0.004,0.003484375
2008,0.009,0.051074219,0.001,0.009128906
2009,0,0.094632813,0.001,0.018324219
2010,0.403,0.117566406,0.06,0.026757813
2011,0.024,0.099402344,0.038,0.033246094
2012,0,0.064128906,0.002,0.045425781
2013,0.004,0.044804688,0.013,0.064644531
2014,0.123,0.040332031,0.246,0.07359375
2015,0.014,0.032800781,0.007,0.058453125
2016,0,0.019734375,0,0.031039063
2017,0.014,0.009328125,0.01,0.011238281
2018,0,0.004199219,0,0.003367188
2019,0.001,0.001859375,0,0.001121094
2020,0,0.00065625,0,0.0003125
2021,0,0.000164063,0,3.90625E-05
2022,0,0.00003125,0,0
2023,0,3.90625E-06,0,0
2024,0,0,0,0
