"Figure 3. Change in Unusually Hot Temperatures in the Contiguous 48 States, 1948-2023",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2024",,,
Web update: June 2024,,,
Units: Change in number of days hotter than 95th percentile,,,
,,,
State,Lat,Long,Change in 95 percent Days
AL,31.0583,-87.055,-14.34591747
AL,30.5467,-87.8808,0
AL,32.8347,-88.1342,0
AL,32.6922,-87.5761,-11.6561039
AL,31.8814,-86.2503,0
AL,34.1736,-86.8133,0
AL,34.6736,-86.0536,0
AL,32.4111,-87.0144,0
AL,33.4164,-86.135,0
AL,31.9172,-87.7347,0
AL,31.8075,-85.9722,-12.52622535
AL,32.0142,-85.7464,-18.49136057
AL,34.5686,-85.6064,-24.69818182
AZ,32.3697,-112.86,15.52831169
AZ,34.3494,-111.6981,0
AZ,35.2719,-111.73,0
AZ,34.9094,-110.1544,0
AZ,36.8644,-111.6022,0
AZ,33.4044,-110.87,27.69702695
AZ,34.1547,-114.2908,0
AZ,31.9356,-109.8378,-10.03836672
AZ,34.5706,-112.4322,18.40103896
AZ,33.6489,-111.1089,16.52500892
AZ,33.0722,-111.7661,0
AZ,32.815,-109.6808,13.34054054
AZ,34.5172,-109.4028,0
AZ,35.3319,-112.8794,13.09741776
AZ,31.7119,-110.0686,14.98171368
AZ,32.2292,-110.9536,-9.538538483
AZ,33.8214,-109.9839,-9.189526189
AZ,33.9792,-112.7403,0
AZ,35.2414,-112.1928,19.56193845
AZ,32.6114,-114.635,-7.884377089
AR,34.8822,-91.2153,-23.19207918
AR,35.1033,-92.4903,0
AR,36.4083,-90.5917,-16.42597403
AR,36.4164,-93.7917,0
AR,36.1011,-94.1736,-12.78692553
AR,36.4261,-94.4481,0
AR,36.4947,-91.535,-13.77321302
AR,34.5978,-94.29,0
AR,35.6042,-91.2744,-24.9787013
AR,34.2256,-92.0186,-13.40993607
AR,36.2642,-90.9683,-14.68883117
AR,33.8203,-93.3878,-17.62027981
AR,33.8103,-91.2778,0
AR,35.3028,-93.6369,-14.06337662
CA,37.8744,-122.2606,21.33279954
CA,33.6139,-114.5978,0
CA,32.9544,-115.5581,0
CA,41.53,-120.1792,8.228571429
CA,39.6911,-121.8211,-11.94701299
CA,32.64,-117.0858,36.46753247
CA,39.09,-120.9469,9.996521739
CA,32.9897,-116.5872,0
CA,38.535,-121.7761,0
CA,36.4625,-116.8672,33.04934716
CA,34.705,-118.4297,15.12127573
CA,39.51,-123.7564,15.16674749
CA,36.3158,-119.6369,10.93090909
CA,41.7961,-123.3747,-22.55469221
CA,38.6294,-122.8664,0
CA,36.7981,-118.2036,41.31432071
CA,33.7086,-116.2153,0
CA,36.3817,-119.0264,15.66337662
CA,37.6819,-121.7514,0
CA,38.1061,-121.2878,0
CA,39.1458,-121.5853,0
CA,37.2889,-120.5158,0
CA,41.3217,-122.3172,0
CA,38.2778,-122.2647,8.871688312
CA,33.6031,-117.8836,0
CA,34.4478,-119.2275,0
CA,39.7458,-122.1997,-6.601558442
CA,41.3019,-123.5386,-16.7343413
CA,34.1483,-118.1447,22.40831169
CA,35.6278,-120.6856,0
CA,38.2578,-122.6078,0
CA,39.9367,-120.9475,0
CA,34.0369,-117.1947,0
CA,35.3056,-120.6619,12.22922668
CA,34.4167,-119.6844,0
CA,36.9878,-121.9994,0
CA,38.4558,-122.7133,0
CA,40.4167,-120.6631,-9.225601991
CA,39.1678,-120.1428,21.41714286
CA,35.0233,-118.7497,0
CA,39.1467,-123.2103,-27.44038462
CA,38.3956,-121.9608,0
CA,35.5892,-119.3519,7.510649351
CA,40.7353,-122.9442,12.79277331
CA,39.5231,-122.3047,9.764155844
CA,37.7503,-119.5897,-12.41454545
CA,41.7031,-122.6414,17.78285714
CO,39.9919,-105.2667,0
CO,38.46,-105.2256,6.695343072
CO,39.2203,-105.2783,0
CO,38.8575,-102.3328,8.235899415
CO,37.6911,-106.3078,14.56311688
CO,39.6244,-106.0336,10.56519481
CO,38.4758,-102.7769,0
CO,40.5764,-105.0858,19.02025974
CO,40.2569,-103.87,0
CO,39.1444,-108.7281,16.21498371
CO,38.5253,-106.9672,-12.40377229
CO,37.7494,-107.095,24.63376623
CO,38.0517,-102.1317,0
CO,38.0936,-102.6306,0
CO,38.0636,-103.2153,6.564957181
CO,37.1711,-105.94,0
CO,38.4858,-107.8792,11.78597403
CO,38.0383,-103.6947,0
CO,38.0919,-106.1511,0
CO,40.4883,-106.8233,11.13558442
CO,37.9492,-107.8736,0
CO,37.1786,-104.4869,34.54741723
CO,40.0819,-102.2069,0
CT,41.95,-73.3667,0
CT,41.3503,-72.0378,0
CT,41.1247,-73.5475,14.12182376
CT,41.795,-72.2286,0
DE,39.1467,-75.5056,0
DE,39.6683,-75.7456,0
DE,39.7739,-75.5414,6.864415584
FL,29.7258,-85.0206,47.28247557
FL,27.2178,-81.8742,-10.44327878
FL,27.8861,-81.8325,0
FL,30.7244,-86.0939,-26.70716198
FL,25.8489,-81.3897,0
FL,29.755,-81.5389,-21.89981104
FL,30.6669,-81.4525,0
FL,26.1019,-80.2011,0
FL,27.4419,-80.3508,18.00831169
FL,28.8028,-82.3128,18.41766234
FL,30.1853,-82.5942,-18.77417458
FL,30.4653,-83.4022,0
FL,29.1639,-82.0778,-10.44926052
FL,28.3378,-82.26,0
FL,28.1522,-82.7539,17.68727273
FL,28.6242,-80.8169,-22.55799694
GA,31.5339,-84.1489,-16.14092558
GA,31.1681,-81.5022,0
GA,31.1903,-84.2036,-45.36519481
GA,33.5972,-83.8436,0
GA,32.2003,-83.2058,-18.33662338
GA,34.3006,-83.86,-13.60256792
GA,31.9881,-81.9522,15.31754495
GA,32.2842,-83.4681,0
GA,33.0831,-83.2497,18.57375617
GA,33.3997,-84.915,-15.48889388
GA,30.7836,-83.5692,-23.28529956
GA,34.2414,-85.1583,0
GA,32.6864,-84.5208,-16.29256323
GA,31.4461,-83.4767,0
GA,34.5786,-83.3319,0
GA,33.4028,-82.6222,0
GA,33.7264,-82.7058,0
GA,31.2514,-82.3128,15.03336683
GA,32.8861,-85.1839,0
ID,42.9536,-112.8253,8.820779221
ID,43.5936,-115.9236,0
ID,44.0708,-111.4564,18.17513819
ID,44.5733,-116.6753,18.8106331
ID,47.6822,-116.7967,-9.983048989
ID,46.5022,-116.3217,0
ID,46.1,-115.5447,0
ID,42.9403,-115.3231,23.48113298
ID,42.5631,-111.7594,31.94909091
ID,42.5972,-114.1378,12.68417461
ID,42.3528,-114.5739,0
ID,42.7325,-114.5192,0
ID,47.5333,-116.1333,0
ID,42.1231,-111.3133,14.63272727
ID,43.9178,-113.6153,0
ID,44.5664,-113.8953,14.26892854
ID,46.7281,-116.9558,11.55116883
ID,44.9714,-116.2933,0
ID,42.2339,-113.8925,0
ID,44.0764,-116.9311,0
ID,48.9994,-116.4992,8.746398162
ID,48.3511,-116.8353,13.47532468
ID,48.2942,-116.5628,14.75130001
IL,41.1978,-90.7447,-15.82753247
IL,37.5222,-89.2486,0
IL,41.7803,-88.3092,0
IL,39.2881,-89.8697,-12.88536821
IL,39.4761,-88.1653,0
IL,40.1392,-87.6478,-19.62181818
IL,39.8289,-88.9506,-15.06393118
IL,41.835,-89.5136,-18.54885608
IL,37.9878,-89.1931,-10.96311688
IL,41.1739,-90.035,-12.68467532
IL,37.7408,-88.5244,-24.87845664
IL,39.1611,-89.4919,0
IL,40.4664,-87.685,0
IL,39.7347,-90.1978,0
IL,40.5839,-90.9686,-8.432207792
IL,40.1519,-89.3386,-17.4774026
IL,42.2636,-88.6078,-12.2110214
IL,40.9125,-89.0339,0
IL,40.9442,-90.6381,-10.63379745
IL,41.7944,-89.9681,-15.15220779
IL,42.0981,-89.9842,9.372467532
IL,38.3619,-88.8597,-18.28051948
IL,38.7006,-88.0819,-14.00415584
IL,41.3281,-88.9097,-18.59220779
IL,38.9994,-87.6139,-15.63931453
IL,39.3686,-89.0867,0
IL,39.6186,-87.6672,-14.74181818
IL,40.8778,-88.6364,0
IL,40.1275,-90.5592,-22.51399342
IL,38.1167,-89.7167,-19.97565649
IL,40.0842,-88.2403,0
IL,41.5603,-89.6025,-15.78597403
IL,39.4408,-90.3789,-13.5012987
IL,39.4458,-88.5961,-15.28311688
IN,40.1117,-85.7164,-9.853831914
IN,41.6639,-85.0183,-9.754622466
IN,40.6683,-84.93,-10.55122163
IN,39.1739,-86.5208,-11.71504819
IN,39.4239,-85.0144,0
IN,39.1661,-85.9228,-9.258181818
IN,40.615,-86.6661,-14.11776557
IN,41.5575,-85.8825,0
IN,39.6439,-86.8767,-27.28094406
IN,39.7858,-85.7611,-13.43064935
IN,41.6117,-86.7297,-16.43428571
IN,38.7369,-85.3942,-25.53870057
IN,40.58,-85.6586,-9.042077922
IN,37.9286,-87.8956,-14.59918585
IN,38.8878,-86.5519,-24.04779221
IN,38.5556,-86.4858,0
IN,38.3567,-87.5906,0
IN,41.0664,-86.2097,-11.50025974
IN,39.7594,-87.2269,0
IN,39.6042,-85.4533,0
IN,38.6886,-85.785,-15.18093664
IN,38.9542,-85.9044,-21.35473453
IN,38.5528,-86.7944,-9.194805195
IN,38.6489,-87.1989,0
IN,39.9961,-86.3542,-9.094750743
IN,41.0267,-86.5867,-12.16
IA,41.0656,-92.7867,-19.47365173
IA,43.0664,-94.2222,0
IA,41.8814,-92.2764,-11.30701299
IA,43.0603,-92.6717,-12.57038961
IA,40.7244,-95.0192,-13.71948052
IA,41.7947,-90.2639,0
IA,43.4036,-94.7472,-14.12883117
IA,41.0211,-91.9553,0
IA,42.8825,-91.8303,-8.262857143
IA,43.2844,-93.6306,-11.90107378
IA,42.5836,-94.2006,-17.93584964
IA,41.3664,-93.6481,-12.02378378
IA,42.5189,-93.2536,-7.124475292
IA,42.7817,-96.1458,-13.53350649
IA,41.65,-95.8061,0
IA,40.7053,-94.2428,0
IA,40.9486,-91.5647,-14.09297297
IA,43.0453,-92.3122,0
IA,43.43,-96.1686,0
IA,42.3969,-94.6292,-16.31792208
IA,42.6469,-95.1933,0
IA,42.0356,-92.5806,0
IA,41.2825,-91.7078,0
KS,37.1942,-99.7633,0
KS,39.5756,-95.1108,0
KS,37.2733,-99.3289,-13.67584416
KS,37.1681,-94.83,-13.47190225
KS,38.6758,-96.5097,0
KS,37.8183,-96.8444,0
KS,38.7297,-98.225,0
KS,37.8172,-94.6986,-16.30169895
KS,38.8586,-99.3358,0
KS,39.6678,-95.52,0
KS,37.2364,-95.7003,0
KS,37.9411,-101.2492,9.154285714
KS,38.1817,-99.0994,0
KS,38.9583,-95.2514,0
KS,39.3256,-94.9189,0
KS,37.0308,-100.9069,0
KS,39.1972,-96.5814,0
KS,38.3772,-97.6097,0
KS,39.1247,-97.7047,0
KS,39.7408,-99.8361,0
KS,39.8228,-100.5164,-8.753177835
KS,38.8875,-94.7603,0
KS,38.6133,-95.2808,-10.12363636
KS,39.7675,-101.8067,6.993246753
KS,38.4747,-100.9175,0
KS,37.1322,-96.18,-13.12207792
KS,39.7772,-98.7783,-9.38574828
KS,39.0147,-99.8722,14.05194805
KY,38.4536,-82.6131,0
KY,36.8825,-83.8819,-12.45026478
KY,37.5733,-84.2908,-20.38374755
KY,38.1228,-83.5328,0
KY,37.2572,-85.5011,0
KY,37.7558,-87.6456,0
KY,36.8489,-87.5208,-17.54520542
KY,37.5108,-86.2892,-21.70231826
KY,38.6408,-84.5592,0
LA,31.3206,-92.4611,0
LA,30.7094,-90.525,0
LA,32.7314,-91.9144,-16.33923755
LA,30.9594,-92.1786,0
LA,32.5372,-92.3597,0
LA,30.5272,-90.1114,0
LA,30.0719,-91.0278,-42.87792208
LA,29.8233,-91.5442,-28.79195757
LA,30.4183,-92.0442,0
LA,29.6408,-90.8161,0
LA,30.2003,-92.6642,-20.17038961
LA,31.9497,-91.2336,18.61439717
LA,32.0997,-91.7022,0
ME,45.6603,-69.812,10.81828677
ME,44.9197,-69.2417,0
ME,44.9067,-66.9919,12.5751384
ME,44.6894,-70.1564,-10.97662338
ME,44.2203,-69.7889,0
ME,45.6503,-68.705,0
ME,46.6539,-68.0089,0
ME,45.1542,-67.3986,0
MD,39.0303,-76.9314,0
MD,39.2167,-76.0519,0
MD,38.9689,-76.8042,0
MD,39.0847,-76.9003,0
MD,39.4131,-79.4003,0
MD,38.2122,-75.6822,0
MD,38.7153,-76.1908,7.731891892
MD,38.365,-75.5892,0
MA,42.3861,-72.5375,0
MA,42.2122,-71.1136,9.826493506
MA,42.6992,-71.1658,5.876363636
MA,41.9819,-70.6961,0
MA,42.5239,-71.125,0
MA,41.9003,-71.0658,11.98599611
MI,41.9164,-84.0164,-8.784245051
MI,42.58,-85.7892,-17.74397348
MI,43.3869,-84.6481,-9.723958515
MI,42.2981,-83.6639,0
MI,43.7072,-85.4819,0
MI,46.5192,-87.9858,0
MI,45.6522,-84.4725,0
MI,41.9622,-84.9925,0
MI,44.2839,-83.5036,0
MI,43.675,-86.4228,-11.49065399
MI,41.9353,-84.6411,0
MI,45.7858,-88.0842,6.814545455
MI,46.4656,-90.1892,-12.72831169
MI,43.5858,-84.7694,0
MI,46.4122,-86.6625,-17.05093445
MI,46.3286,-85.5033,0
MI,43.0161,-84.18,0
MI,42.4014,-86.2825,-11.00698972
MI,46.0556,-88.6275,0
MN,47.2992,-96.5161,-11.06472425
MN,43.6064,-93.3019,-8.038441558
MN,48.3311,-96.8253,0
MN,48.7094,-94.5853,0
MN,46.7053,-92.5239,0
MN,46.8372,-95.8375,0
MN,43.6447,-94.4656,0
MN,44.6661,-93.1756,-9.478912209
MN,47.5639,-95.7247,-16.0581286
MN,43.7047,-92.5644,0
MN,47.2436,-93.4975,10.51636364
MN,47.2256,-95.1919,-6.919480519
MN,47.2467,-94.2228,0
MN,45.1219,-95.9269,9.672727273
MN,44.9342,-95.7458,0
MN,45.8775,-93.3147,-14.1787013
MN,45.59,-95.8744,0
MN,44.3006,-94.4897,-24.72407834
MN,46.6694,-94.1089,0
MN,44.0139,-96.3258,-8.91012987
MN,48.8486,-95.7675,-14.46005537
MN,44.3222,-93.9656,-13.89922078
MN,46.7953,-93.3211,0
MN,47.0258,-91.6653,0
MN,47.0997,-94.5725,0
MN,43.7639,-94.1661,0
MN,44.2997,-92.6656,-18.72362371
MS,33.83,-88.5214,-28.61141835
MS,34.3061,-89.9806,-18.43356109
MS,34.6344,-88.5622,-19.42368036
MS,31.5447,-90.4581,-16.08932204
MS,32.6714,-90.0361,-15.58400926
MS,34.1864,-90.5572,-34.68551825
MS,31.2503,-89.8361,0
MS,34.8792,-88.6178,-19.49399255
MS,32.36,-89.4208,0
MS,33.3592,-91.06,0
MS,31.2547,-89.3392,-22.54392863
MS,34.8039,-90.0103,0
MS,33.0583,-89.5797,-14.40711263
MS,31.6756,-89.1236,0
MS,33.1356,-89.0711,0
MS,31.5519,-90.1058,21.45327
MS,33.4517,-90.5097,-22.88410463
MS,31.5889,-91.3408,-27.10172569
MS,30.3961,-88.4781,-19.78675035
MS,34.1381,-88.9983,0
MS,30.8408,-89.5453,0
MS,31.985,-90.9719,0
MS,33.4692,-88.7822,0
MS,34.3725,-89.5308,0
MS,34.1583,-89.6311,-13.00900901
MS,31.6772,-88.6708,0
MS,31.0931,-91.2325,-15.60192308
MS,32.9028,-90.3817,19.67738165
MO,38.1894,-94.0244,-24.19636364
MO,39.4247,-93.1331,-20.16243411
MO,36.1875,-89.66,0
MO,38.395,-93.7711,0
MO,40.2394,-94.6833,-20.14233766
MO,36.6206,-90.8125,-18.47102667
MO,37.7919,-90.4097,-13.75168831
MO,38.5847,-92.1831,-10.88103896
MO,37.5983,-94.2842,0
MO,37.685,-92.6939,0
MO,39.1828,-93.855,-19.69564108
MO,37.3908,-93.9492,-14.2774026
MO,37.3056,-89.975,-11.92612852
MO,39.1714,-91.8717,0
MO,39.4033,-92.4325,-12.10597556
MO,37.1542,-92.2619,-11.67272727
MO,36.865,-94.3603,0
MO,37.9567,-91.7761,0
MO,40.2472,-93.7158,0
MO,39.9703,-91.8875,0
MO,38.9664,-93.4194,-19.80571429
MO,40.475,-93.0031,0
MO,38.8347,-91.1389,-15.55547233
MT,47.4925,-112.3969,0
MT,45.8325,-109.9511,0
MT,45.6622,-111.0464,10.98285714
MT,47.2192,-111.7108,13.54892106
MT,48.5883,-109.2267,0
MT,47.8206,-112.1922,0
MT,45.2089,-112.6389,0
MT,45.8864,-104.5478,0
MT,45.3394,-111.7122,16.50909091
MT,46.8217,-108.3725,0
MT,48.4983,-109.8014,0
MT,48.7783,-114.8997,0
MT,47.1058,-104.7175,0
MT,46.2461,-114.1681,7.718163278
MT,44.8667,-111.3392,0
MT,45.9228,-108.2453,9.494268206
MT,45.9353,-107.1375,0
MT,47.3144,-106.9103,0
