year,series,value
1911,Cold Highs,3.5000000000000003E-2
1911,9-pt High,0.12667187500000002
1911,Cold Lows,0.04
1911,9-pt Low,0.14530078124999998
1912,Cold Highs,0.374
1912,9-pt High,0.16990234374999999
1912,Cold Lows,0.40200000000000002
1912,9-pt Low,0.19021093750000001
1913,Cold Highs,0.184
1913,9-pt High,0.18569531249999999
1913,Cold Lows,0.28600000000000003
1913,9-pt Low,0.18430859375000003
1914,Cold Highs,3.7999999999999999E-2
1914,9-pt High,0.18891015624999999
1914,Cold Lows,1.4999999999999999E-2
1914,9-pt Low,0.14850390625000001
1915,Cold Highs,0.32299999999999995
1915,9-pt High,0.20817187499999998
1915,Cold Lows,3.7000000000000005E-2
1915,9-pt Low,0.150484375
1916,Cold Highs,0.10800000000000001
1916,9-pt High,0.24765625000000002
1916,Cold Lows,0.10199999999999999
1916,9-pt Low,0.21983593749999999
1917,Cold Highs,0.38300000000000001
1917,9-pt High,0.28092187500000004
1917,Cold Lows,0.47899999999999998
1917,9-pt Low,0.30208593750000001
1918,Cold Highs,0.434
1918,9-pt High,0.27516015625000007
1918,Cold Lows,0.57500000000000007
1918,9-pt Low,0.31870703125000011
1919,Cold Highs,0.13100000000000001
1919,9-pt High,0.22582812499999996
1919,Cold Lows,0.106
1919,9-pt Low,0.25762890625000001
1920,Cold Highs,0.19399999999999998
1920,9-pt High,0.16355078125
1920,Cold Lows,0.184
1920,9-pt Low,0.17506250000000001
1921,Cold Highs,2E-3
1921,9-pt High,0.11873828125000001
1921,Cold Lows,0.01
1921,9-pt Low,0.11942578124999999
1922,Cold Highs,0.18300000000000002
1922,9-pt High,9.3093750000000003E-2
1922,Cold Lows,0.18
1922,9-pt Low,9.1335937499999992E-2
1923,Cold Highs,4.2999999999999997E-2
1923,9-pt High,7.2402343750000014E-2
1923,Cold Lows,4.4000000000000004E-2
1923,9-pt Low,7.2671875000000011E-2
1924,Cold Highs,4.9000000000000002E-2
1924,9-pt High,5.0339843750000002E-2
1924,Cold Lows,1.3999999999999999E-2
1924,9-pt Low,5.6511718750000002E-2
1925,Cold Highs,2.6000000000000002E-2
1925,9-pt High,3.2304687500000005E-2
1925,Cold Lows,9.8000000000000004E-2
1925,9-pt Low,4.4687499999999991E-2
1926,Cold Highs,8.0000000000000002E-3
1926,9-pt High,2.9699218749999999E-2
1926,Cold Lows,6.9999999999999993E-3
1926,9-pt Low,4.5632812500000001E-2
1927,Cold Highs,2E-3
1927,9-pt High,5.2902343749999997E-2
1927,Cold Lows,2E-3
1927,9-pt Low,7.4652343749999989E-2
1928,Cold Highs,1.9E-2
1928,9-pt High,9.3585937500000008E-2
1928,Cold Lows,1.9E-2
1928,9-pt Low,0.12603906249999999
1929,Cold Highs,0.38
1929,9-pt High,0.12287890625000002
1929,Cold Lows,0.51400000000000001
1929,9-pt Low,0.15950390625000005
1930,Cold Highs,4.0000000000000001E-3
1930,9-pt High,0.12930859375000001
1930,Cold Lows,2.4E-2
1930,9-pt Low,0.15315234374999998
1931,Cold Highs,5.5999999999999994E-2
1931,9-pt High,0.13430078125
1931,Cold Lows,3.1000000000000003E-2
1931,9-pt Low,0.13908593749999998
1932,Cold Highs,0.19500000000000001
1932,9-pt High,0.14872265625
1932,Cold Lows,0.126
1932,9-pt Low,0.14720703125000004
1933,Cold Highs,0.29499999999999998
1933,9-pt High,0.16000781249999999
1933,Cold Lows,0.35899999999999999
1933,9-pt Low,0.16574609374999999
1934,Cold Highs,3.1000000000000003E-2
1934,9-pt High,0.17813281250000002
1934,Cold Lows,5.2000000000000005E-2
1934,9-pt Low,0.19015625
1935,Cold Highs,1.4999999999999999E-2
1935,9-pt High,0.22548046875
1935,Cold Lows,2.2000000000000002E-2
1935,9-pt Low,0.23616015625
1936,Cold Highs,0.60799999999999998
1936,9-pt High,0.27080078125000007
1936,Cold Lows,0.59
1936,9-pt Low,0.27786328124999993
1937,Cold Highs,0.39200000000000002
1937,9-pt High,0.25593359375000002
1937,Cold Lows,0.42299999999999999
1937,9-pt Low,0.26028515624999998
1938,Cold Highs,0
1938,9-pt High,0.18877343750000003
1938,Cold Lows,0
1938,9-pt Low,0.1885703125
1939,Cold Highs,3.7000000000000005E-2
1939,9-pt High,0.12809374999999998
1939,Cold Lows,0.03
1939,9-pt Low,0.12172265624999999
1940,Cold Highs,0.254
1940,9-pt High,9.403906250000002E-2
1940,Cold Lows,0.219
1940,9-pt Low,8.4949218750000013E-2
1941,Cold Highs,0
1941,9-pt High,6.5988281250000003E-2
1941,Cold Lows,0
1941,9-pt Low,5.9265624999999988E-2
1942,Cold Highs,1.4999999999999999E-2
1942,9-pt High,3.8835937499999994E-2
1942,Cold Lows,2.6000000000000002E-2
1942,9-pt Low,3.4660156249999997E-2
1943,Cold Highs,3.0000000000000001E-3
1943,9-pt High,2.4687499999999998E-2
1943,Cold Lows,3.0000000000000001E-3
1943,9-pt Low,1.9914062500000003E-2
1944,Cold Highs,3.4000000000000002E-2
1944,9-pt High,2.3375000000000003E-2
1944,Cold Lows,1.1000000000000001E-2
1944,9-pt Low,1.928125E-2
1945,Cold Highs,4.4999999999999998E-2
1945,9-pt High,2.651171875E-2
1945,Cold Lows,1.7000000000000001E-2
1945,9-pt Low,2.9171875000000003E-2
1946,Cold Highs,4.0000000000000001E-3
1946,9-pt High,4.0109375000000003E-2
1946,Cold Lows,6.9000000000000006E-2
1946,9-pt Low,5.101953125E-2
1947,Cold Highs,5.0000000000000001E-3
1947,9-pt High,8.0257812500000011E-2
1947,Cold Lows,6.0000000000000001E-3
1947,9-pt Low,9.2496093750000008E-2
1948,Cold Highs,0.09
1948,9-pt High,0.13826953124999999
1948,Cold Lows,0.11900000000000001
