state,lat,long,value
AL,31.0583,-87.055,0
AL,30.5467,-87.8808,8.476883117
AL,32.8347,-88.1342,-19.0281599
AL,32.6922,-87.5761,0
AL,31.8814,-86.2503,20.63379121
AL,34.1736,-86.8133,-12.1225974
AL,34.6736,-86.0536,-7.866963957
AL,32.4111,-87.0144,0
AL,33.4164,-86.135,0
AL,31.9172,-87.7347,-8.944536061
AL,31.8075,-85.9722,0
AL,32.0142,-85.7464,14.43916697
AL,34.5686,-85.6064,-12.97662338
AZ,32.3697,-112.86,-22.31896104
AZ,34.3494,-111.6981,0
AZ,35.2719,-111.73,-23.86166054
AZ,34.9094,-110.1544,-21.26190476
AZ,36.8644,-111.6022,-18.83282799
AZ,33.4044,-110.87,-16.13548208
AZ,34.1547,-114.2908,-34.04456087
AZ,31.9356,-109.8378,7.723781421
AZ,34.5706,-112.4322,-16.69194805
AZ,33.6489,-111.1089,0
AZ,33.0722,-111.7661,-33.46468235
AZ,32.815,-109.6808,-18.70054054
AZ,34.5172,-109.4028,-21.08817516
AZ,35.3319,-112.8794,-10.49027237
AZ,31.7119,-110.0686,-16.48419427
AZ,32.2292,-110.9536,-51.01861628
AZ,33.8214,-109.9839,-14.65477302
AZ,33.9792,-112.7403,-22.83679115
AZ,35.2414,-112.1928,0
AZ,32.6114,-114.635,-37.36447589
AR,34.8822,-91.2153,-12.27481518
AR,35.1033,-92.4903,0
AR,36.4083,-90.5917,-8.805194805
AR,36.4164,-93.7917,-10.64597902
AR,36.1011,-94.1736,-18.4068145
AR,36.4261,-94.4481,-12.86233766
AR,36.4947,-91.535,0
AR,34.5978,-94.29,6.304415584
AR,35.6042,-91.2744,0
AR,34.2256,-92.0186,0
AR,36.2642,-90.9683,0
AR,33.8203,-93.3878,0
AR,33.8103,-91.2778,-24.91227106
AR,35.3028,-93.6369,0
CA,37.8744,-122.2606,0
CA,33.6139,-114.5978,-20.89514066
CA,32.9544,-115.5581,-15.07540984
CA,41.53,-120.1792,0
CA,39.6911,-121.8211,-16.08623377
CA,32.64,-117.0858,-31.45038961
CA,39.09,-120.9469,0
CA,32.9897,-116.5872,-26.25246753
CA,38.535,-121.7761,-12.76987013
CA,36.4625,-116.8672,-12.75422427
CA,34.705,-118.4297,-8.243283982
CA,39.51,-123.7564,0
CA,36.3158,-119.6369,-24.43948052
CA,41.7961,-123.3747,0
CA,38.6294,-122.8664,-17.09760133
CA,36.7981,-118.2036,-14.29845158
CA,33.7086,-116.2153,-46.75072163
CA,36.3817,-119.0264,-12.30441558
CA,37.6819,-121.7514,-34.55051786
CA,38.1061,-121.2878,-25.51329409
CA,39.1458,-121.5853,-22.46001667
CA,37.2889,-120.5158,-18.11948052
CA,41.3217,-122.3172,0
CA,38.2778,-122.2647,-20.74077922
CA,33.6031,-117.8836,-48.84051948
CA,34.4478,-119.2275,13.60935065
CA,39.7458,-122.1997,-22.8561039
CA,41.3019,-123.5386,-16.93355296
CA,34.1483,-118.1447,-42.20467532
CA,35.6278,-120.6856,-22.69506494
CA,38.2578,-122.6078,-11.22909091
CA,39.9367,-120.9475,-21.07705676
CA,34.0369,-117.1947,-27.58480326
CA,35.3056,-120.6619,-14.39594998
CA,34.4167,-119.6844,-51.28519481
CA,36.9878,-121.9994,-36.60493151
CA,38.4558,-122.7133,-34.02810075
CA,40.4167,-120.6631,-22.11455198
CA,39.1678,-120.1428,-7.490909091
CA,35.0233,-118.7497,0
CA,39.1467,-123.2103,-20.86346154
CA,38.3956,-121.9608,-32.96376319
CA,35.5892,-119.3519,-16.25038961
CA,40.7353,-122.9442,-29.84556569
CA,39.5231,-122.3047,-22.44987013
CA,37.7503,-119.5897,-24.66701299
CA,41.7031,-122.6414,-7.762077922
CO,39.9919,-105.2667,0
CO,38.46,-105.2256,8.589164654
CO,39.2203,-105.2783,0
CO,38.8575,-102.3328,-16.01601389
CO,37.6911,-106.3078,0
CO,39.6244,-106.0336,-19.93246753
CO,38.4758,-102.7769,0
