year,series,value
1910,Hot daily highs,0.066
1910,Hot daily lows,0.016
1910,Hot daily highs (smoothed),0.065242188
1910,Hot daily lows (smoothed),0.016410156
1911,Hot daily highs,0.08
1911,Hot daily lows,0.023
1911,Hot daily highs (smoothed),0.067644531
1911,Hot daily lows (smoothed),0.017984375
1912,Hot daily highs,0.004
1912,Hot daily lows,0
1912,Hot daily highs (smoothed),0.076617188
1912,Hot daily lows (smoothed),0.02371875
1913,Hot daily highs,0.152
1913,Hot daily lows,0.026
1913,Hot daily highs (smoothed),0.0848125
1913,Hot daily lows (smoothed),0.031789063
1914,Hot daily highs,0.136
1914,Hot daily lows,0.097
1914,Hot daily highs (smoothed),0.078863281
1914,Hot daily lows (smoothed),0.034363281
1915,Hot daily highs,0.011
1915,Hot daily lows,0.002
1915,Hot daily highs (smoothed),0.062183594
1915,Hot daily lows (smoothed),0.028339844
1916,Hot daily highs,0.004
1916,Hot daily lows,0.004
1916,Hot daily highs (smoothed),0.0563125
1916,Hot daily lows (smoothed),0.021910156
1917,Hot daily highs,0.058
1917,Hot daily lows,0.01
1917,Hot daily highs (smoothed),0.070898438
1917,Hot daily lows (smoothed),0.023660156
1918,Hot daily highs,0.147
1918,Hot daily lows,0.047
1918,Hot daily highs (smoothed),0.089523438
1918,Hot daily lows (smoothed),0.03315625
1919,Hot daily highs,0.141
1919,Hot daily lows,0.052
1919,Hot daily highs (smoothed),0.093707031
1919,Hot daily lows (smoothed),0.046886719
1920,Hot daily highs,0
1920,Hot daily lows,0.001
1920,Hot daily highs (smoothed),0.084179688
1920,Hot daily lows (smoothed),0.061453125
1921,Hot daily highs,0.138
1921,Hot daily lows,0.179
1921,Hot daily highs (smoothed),0.071
1921,Hot daily lows (smoothed),0.068074219
1922,Hot daily highs,0.044
1922,Hot daily lows,0.041
1922,Hot daily highs (smoothed),0.060984375
1922,Hot daily lows (smoothed),0.05915625
1923,Hot daily highs,0.004
1923,Hot daily lows,0.021
1923,Hot daily highs (smoothed),0.059648438
1923,Hot daily lows (smoothed),0.041261719
1924,Hot daily highs,0.078
1924,Hot daily lows,0.01
1924,Hot daily highs (smoothed),0.066292969
1924,Hot daily lows (smoothed),0.027667969
1925,Hot daily highs,0.134
1925,Hot daily lows,0.035
1925,Hot daily highs (smoothed),0.067917969
1925,Hot daily lows (smoothed),0.021640625
1926,Hot daily highs,0.049
1926,Hot daily lows,0.023
1926,Hot daily highs (smoothed),0.055171875
1926,Hot daily lows (smoothed),0.017933594
1927,Hot daily highs,0.009
1927,Hot daily lows,0.001
1927,Hot daily highs (smoothed),0.040164063
1927,Hot daily lows (smoothed),0.014648438
1928,Hot daily highs,0.003
1928,Hot daily lows,0.014
1928,Hot daily highs (smoothed),0.046488281
1928,Hot daily lows (smoothed),0.015804688
1929,Hot daily highs,0.017
1929,Hot daily lows,0.007
1929,Hot daily highs (smoothed),0.082089844
1929,Hot daily lows (smoothed),0.025550781
1930,Hot daily highs,0.206
1930,Hot daily lows,0.028
1930,Hot daily highs (smoothed),0.128980469
1930,Hot daily lows (smoothed),0.043515625
1931,Hot daily highs,0.236
1931,Hot daily lows,0.107
1931,Hot daily highs (smoothed),0.167054688
1931,Hot daily lows (smoothed),0.067300781
1932,Hot daily highs,0.057
1932,Hot daily lows,0.044
1932,Hot daily highs (smoothed),0.197089844
1932,Hot daily lows (smoothed),0.09703125
1933,Hot daily highs,0.279
1933,Hot daily lows,0.104
1933,Hot daily highs (smoothed),0.224707031
1933,Hot daily lows (smoothed),0.130445313
1934,Hot daily highs,0.398
1934,Hot daily lows,0.309
1934,Hot daily highs (smoothed),0.242417969
