station,state,lat,long,value,p_value,trend
USC00011084,AL,31.0583,-87.055,-14.34591747,5.0886501834945003E-2,decrease
USC00012813,AL,30.5467,-87.8808,0,0.11129897281143999,none
USC00013160,AL,32.8347,-88.1342,0,0.24320579263769401,none
USC00013511,AL,32.6922,-87.5761,-11.6561039,8.1054129236618797E-2,decrease
USC00013816,AL,31.8814,-86.2503,0,0.60634046498027505,none
USC00017157,AL,34.1736,-86.8133,0,0.53299443209528197,none
USC00017304,AL,34.6736,-86.0536,0,0.22709999364077499,none
USC00017366,AL,32.4111,-87.0144,0,0.47763433858187998,none
USC00018024,AL,33.4164,-86.135,0,0.973755915181169,none
USC00018178,AL,31.9172,-87.7347,0,0.16896150681583699,none
USC00018323,AL,31.8075,-85.9722,-12.52622535,9.8237122011437306E-2,decrease
USC00018438,AL,32.0142,-85.7464,-18.49136057,1.6370757235137399E-2,decrease
USC00018469,AL,34.5686,-85.6064,-24.69818182,7.5415050169092403E-4,decrease
USC00020080,AZ,32.3697,-112.86,15.52831169,1.0609302323401099E-3,increase
USC00021614,AZ,34.3494,-111.6981,0,0.59193439899760603,none
USC00023160,AZ,35.2719,-111.73,0,0.42816980467004101,none
USC00024089,AZ,34.9094,-110.1544,0,0.238421669512517,none
USC00024849,AZ,36.8644,-111.6022,0,0.50456639232143496,none
USC00025512,AZ,33.4044,-110.87,27.69702695,3.4662466352758e-05,increase
USC00026250,AZ,34.1547,-114.2908,0,0.71585793566878198,none
USC00026353,AZ,31.9356,-109.8378,-10.03836672,1.7091693097610602E-2,decrease
USC00026796,AZ,34.5706,-112.4322,18.40103896,6.94504564750128e-06,increase
USC00027281,AZ,33.6489,-111.1089,16.52500892,3.63188568467047e-05,increase
USC00027370,AZ,33.0722,-111.7661,0,0.26142981914798902,none
USC00027390,AZ,32.815,-109.6808,13.34054054,3.4678002988685198E-3,increase
USC00027435,AZ,34.5172,-109.4028,0,0.107395264919167,none
USC00027716,AZ,35.3319,-112.8794,13.09741776,3.1274040239277199E-3,increase
USC00028619,AZ,31.7119,-110.0686,14.98171368,5.4511945954186197E-4,increase
USC00028815,AZ,32.2292,-110.9536,-9.538538483,9.30383406822059E-2,decrease
USC00029271,AZ,33.8214,-109.9839,-9.189526189,8.6682729435768796E-2,decrease
USC00029287,AZ,33.9792,-112.7403,0,0.25128177079404401,none
USC00029359,AZ,35.2414,-112.1928,19.56193845,1.90033752097834e-06,increase
USC00029652,AZ,32.6114,-114.635,-7.884377089,8.2998794419218994E-2,decrease
USC00030936,AR,34.8822,-91.2153,-23.19207918,1.33788569093311E-3,decrease
USC00031596,AR,35.1033,-92.4903,0,0.53302296101450997,none
USC00031632,AR,36.4083,-90.5917,-16.42597403,3.45206782606666E-3,decrease
USC00032356,AR,36.4164,-93.7917,0,0.81377745289612302,none
USC00032444,AR,36.1011,-94.1736,-12.78692553,5.1082661886406103E-2,decrease
